id,school,location,role,rating,submittedDate,salary,monthlyTakeHome,monthlySavings,taxRate,housing,airfare,childrenTuition,healthInsurance,retirementPlan,education,experience,yearsAtSchool,curricula,workload,contractLength,schoolStructure,facultySize,extracurriculars,url
"1000","🇨🇳 ISA Science City","Guangzhou, China","Middle School Teacher","","","","$5,443","51% - 60% savings","20%","Not provided","Annual Flight to country to origin","Free tuition is provided for two children per teacher","Provided","No","Masters","16+ years","2","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1000"
"1001","🇹🇭 Tara Pattana International School","Chonburi, Thailand","High School Teacher","","","","$2,700","31% - 40% savings","17%","Not provided","End of 2 year contract","Free tuition is provided for two children per teacher","Provided","No","Bachelors","9-10 years","5","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Public)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1001"
"1002","🇨🇳 ISA WUHAN INTERNATIONAL SCHOOL","Wuhan, China","Elementary Homeroom Teacher","","","","$4,185","51% - 60% savings","20%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","1","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1002"
"1003","🇦🇪 Ittihad National Private School Al Ain","Al Ain, United Arab Emirates","High School Teacher","","","","$3,250","Less than 20% savings","0%","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","No","Masters","3-5 years","","American","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1003"
"1004","🇨🇭 International School of Lausanne","Lausanne, Switzerland","High School Teacher","","","","$8,000","21% - 30% savings","25%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Masters","16+ years","10","International Baccalaureate","Heavy (More than 30 hours per week)","More than 5 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1004"
"1005","🇶🇦 Sherborne qatar","Doha, Qatar","Middle School Teacher","","","","$3,300","Less than 20% savings","0%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","No","Masters","9-10 years","6","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1005"
"1006","🇦🇪 GEMS Founders School","Abu Dhabi, United Arab Emirates","Elementary Homeroom Teacher","","","","$3,400","21% - 30% savings","0%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","","British","Busy (26-30 hours per week)","2 years","","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1006"
"1007","🇲🇲 Kings International School","Yangon, Myanmar","High School Teacher","","","","$1,500","21% - 30% savings","0%","Not provided","Not provided","Free tuition is provided for one child per teacher","Employee Pays Percentage","No","Bachelors","3-5 years","","British","","","","","","https://www.internationalteachersalary.com/schools/1007"
"1008","🇧🇸 Windsor","Nassau, Bahamas","Assistant Elementary Principal","","","","$6,000","21% - 30% savings","0%","$500","Not provided","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Bachelors","11-15 years","4","British","Moderate (20-25 hours per week)","1 year","","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1008"
"1009","🇨🇳 Harrow Haikou","Hainan, China","Dean of Students","","","","$4,000","51% - 60% savings","15%","Not provided","Annual round trip flights for employee, then plus dependents from 2nd year","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","2","Chinese","Busy (26-30 hours per week)","2 years","","Medium (20-50 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1009"
